broker,id,received_subs,sent_subs,received_pubs,sent_pubs
b,4,31,16,99,227
b,5,46,28,99,274
b,8,41,69,109,375
b,9,28,8,109,203
b,10,26,6,101,111
b,11,30,10,109,163
b,4,24,9,51,94
b,5,30,20,48,98
b,8,45,67,55,191
b,9,26,8,57,100
b,10,40,12,53,68
b,11,28,8,46,89
b,4,26,10,165,305
b,5,37,22,165,329
b,8,61,81,164,663
b,9,32,12,164,454
b,10,36,13,164,453
b,11,45,16,158,318
b,4,22,7,171,333
b,5,37,26,168,193
b,8,49,83,181,775
b,9,32,11,181,482
b,10,30,7,169,313
b,11,31,8,173,489
b,4,34,6,26,38
b,5,54,46,26,55
b,8,65,99,32,116
b,9,33,6,31,45
b,10,38,10,31,61
b,11,41,13,30,46
b,4,32,13,53,116
b,5,42,34,53,94
b,8,44,67,66,214
b,9,23,6,67,104
b,10,26,5,53,96
b,11,28,11,63,102
b,4,36,19,34,69
b,5,68,28,34,82
b,8,61,142,40,127
b,9,47,7,43,64
b,10,46,6,39,44
b,11,52,6,36,79
b,4,41,18,68,121
b,5,50,28,68,178
b,8,46,76,83,318
b,9,30,6,75,122
b,10,31,12,83,146
b,11,25,5,78,150
b,4,41,8,81,155
b,5,57,56,77,201
b,8,72,73,77,286
b,9,39,16,77,111
b,10,31,10,77,131
b,11,26,5,73,95
b,4,26,10,167,336
b,5,36,25,172,342
b,8,45,74,175,775
b,9,28,9,175,340
b,10,29,7,175,204
b,11,34,9,150,412
